"date","exercise_name","sets","reps","weight","duration","level"
2020-08-26,"penkki",0,0,0,NA,NA
2020-08-26,"kyykky",0,0,0,NA,NA
2020-08-26,"hauiskääntö",0,0,0,NA,NA
2020-09-03,"kyykky",1,0,0,NA,NA
2020-09-03,"kyykky",1,0,0,NA,NA
2020-09-03,"crosstrainer",NA,NA,NA,10,10
2020-09-03,"kyykky",0,0,0,NA,NA
2020-09-03,"kyykky",0,0,0,NA,NA
2020-09-28,"crosstrainer",NA,NA,NA,60,9
2020-09-28,"vatsalihakset (Riikan lista)",0,8,0,NA,NA
2020-09-29,"penkki",4,8,25,NA,NA
2020-08-31,"crosstrainer",NA,NA,NA,60,9
2020-08-31,"vatsalihakset (Riikan lista)",0,8,0,NA,NA
2020-09-01,"penkki",4,8,25,NA,NA
2020-09-01,"hartiasarja (laskeva penkki)",1,15,6,NA,NA
2020-09-01,"takahartia",2,15,20,NA,NA
2020-09-01,"ojentajat",3,15,7,NA,NA
2020-09-01,"hauiskääntö",4,15,6,NA,NA
2020-09-02,"pyöräily",NA,NA,NA,30,0
2020-09-01,"pyöräily",NA,NA,NA,30,0
2020-09-02,"pyöräily",NA,NA,NA,30,0
2020-09-03,"kyykky",10,0,0,NA,NA
